# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 29K of event 'cycles:ppp'
# Event count (approx.): 21822785868
#
# Overhead  Command          Shared Object                            Symbol                                                                                                                                                                                                                                        
# ........  ...............  .......................................  ..............................................................................................................................................................................................................................................
#
     0.01%  pgrep            [unknown]                                [k] 0xfffffe000013a01b
     0.01%  pgrep            [kernel.kallsyms]                        [k] __inode_permission
     0.01%  pgrep            [kernel.kallsyms]                        [k] path_openat
     0.01%  pgrep            [kernel.kallsyms]                        [k] seq_read
     0.01%  pgrep            [kernel.kallsyms]                        [k] proc_pid_cmdline_read
     0.01%  pgrep            [kernel.kallsyms]                        [k] apparmor_file_open
     0.01%  pgrep            libc-2.27.so                             [.] __GI_____strtoull_l_internal
     0.01%  swapper          [kernel.kallsyms]                        [k] __switch_to
     0.01%  pgrep            [kernel.kallsyms]                        [k] __task_pid_nr_ns
     0.01%  swapper          [kernel.kallsyms]                        [k] load_new_mm_cr3
     0.01%  pgrep            [unknown]                                [k] 0xfffffe00000b601b
     0.01%  pgrep            [kernel.kallsyms]                        [k] task_work_run
     0.01%  pgrep            [kernel.kallsyms]                        [k] native_irq_return_iret
     0.01%  stremio          [kernel.kallsyms]                        [k] __fget
     0.01%  pgrep            [kernel.kallsyms]                        [k] do_dentry_open
     0.01%  swapper          [kernel.kallsyms]                        [k] native_write_msr
     0.01%  pgrep            [kernel.kallsyms]                        [k] __handle_mm_fault
     0.01%  pgrep            [kernel.kallsyms]                        [k] get_page_from_freelist
     0.01%  Chrome_ChildIOT  chrome                                   [.] _fini
     0.01%  pgrep            [kernel.kallsyms]                        [k] get_mem_cgroup_from_mm
     0.01%  chrome           chrome                                   [.] 0x0000000002b4c0de
     0.01%  pgrep            ld-2.27.so                               [.] _dl_lookup_symbol_x
     0.01%  swapper          [kernel.kallsyms]                        [k] update_load_avg
     0.01%  node             node                                     [.] _ZN2v88internal10ParserBaseINS0_9PreParserEE21ParseBinaryExpressionEibPb
     0.01%  chrome           [kernel.kallsyms]                        [k] syscall_return_via_sysret
     0.01%  node             [kernel.kallsyms]                        [k] gen6_read32
     0.01%  swapper          [kernel.kallsyms]                        [k] rcu_cblist_dequeue
     0.01%  node             node                                     [.] _ZN2v88internal10ParserBaseINS0_9PreParserEE20ParseUnaryExpressionEPb
     0.01%  pgrep            libprocps.so.6.0.0                       [.] 0x0000000000006d34
     0.01%  pgrep            [kernel.kallsyms]                        [k] __kmalloc_node
     0.01%  pgrep            [unknown]                                [k] 0xfffffe000003201b
     0.01%  pgrep            [kernel.kallsyms]                        [k] follow_pmd_mask
     0.01%  pgrep            [kernel.kallsyms]                        [k] path_init
     0.01%  pgrep            [kernel.kallsyms]                        [k] __legitimize_mnt
     0.01%  node             node                                     [.] _ZN2v88internal14CodeSerializer15SerializeObjectEPNS0_10HeapObjectENS0_22SerializerDeserializer9HowToCodeENS4_12WhereToPointEi
     0.01%  pgrep            [unknown]                                [k] 0xfffffe00000e201b
     0.01%  pgrep            [kernel.kallsyms]                        [k] follow_page_mask
     0.01%  pgrep            [kernel.kallsyms]                        [k] __get_user_pages
     0.01%  pgrep            [kernel.kallsyms]                        [k] lockref_put_return
     0.01%  pgrep            [kernel.kallsyms]                        [k] follow_managed
     0.01%  pgrep            [kernel.kallsyms]                        [k] do_sys_open
     0.01%  pgrep            libc-2.27.so                             [.] __vsnprintf_chk
     0.01%  pgrep            [kernel.kallsyms]                        [k] get_task_cred
     0.01%  pgrep            [kernel.kallsyms]                        [k] bitmap_list_string.isra.7
     0.01%  pgrep            [kernel.kallsyms]                        [k] __alloc_fd
     0.01%  pgrep            [kernel.kallsyms]                        [k] may_open
     0.01%  pgrep            [kernel.kallsyms]                        [k] lockref_get_not_dead
     0.01%  pgrep            pgrep                                    [.] 0x0000000000003375
     0.01%  pgrep            [kernel.kallsyms]                        [k] kfree
     0.01%  node             node                                     [.] _ZN2v88internal7Scanner28ScanIdentifierOrKeywordInnerEPNS1_12LiteralScopeE
     0.01%  pgrep            [kernel.kallsyms]                        [k] pointer
     0.01%  pgrep            libc-2.27.so                             [.] __close
     0.01%  pgrep            libc-2.27.so                             [.] _IO_str_init_static_internal
     0.01%  swapper          [kernel.kallsyms]                        [k] tick_nohz_idle_exit
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3               [.] g_type_check_instance_is_a
     0.01%  node             [kernel.kallsyms]                        [k] error_entry
     0.01%  pgrep            [kernel.kallsyms]                        [k] clear_page_erms
     0.01%  node             node                                     [.] _ZN2v88internal10ParserBaseINS0_6ParserEE25ParseAssignmentExpressionEbPb
     0.01%  pgrep            [unknown]                                [k] 0xfffffe00000e201e
     0.01%  gnome-shell      libmutter-clutter-2.so                   [.] clutter_actor_is_visible
     0.01%  node             [kernel.kallsyms]                        [k] handle_pte_fault
     0.01%  stremio          libglib-2.0.so.0.5600.3                  [.] g_main_context_check
     0.01%  swapper          [kernel.kallsyms]                        [k] file_free_rcu
     0.01%  swapper          [kernel.kallsyms]                        [k] __next_timer_interrupt
     0.01%  pgrep            [kernel.kallsyms]                        [k] idr_get_next
     0.01%  chrome           libpthread-2.27.so                       [.] __pthread_mutex_lock
     0.01%  swapper          [kernel.kallsyms]                        [k] select_task_rq_fair
     0.01%  gnome-shell      libglib-2.0.so.0.5600.3                  [.] 0x0000000000049481
     0.01%  swapper          [kernel.kallsyms]                        [k] __indirect_thunk_start
     0.01%  dockerd          dockerd-ce                               [.] runtime.gcDrain
     0.01%  swapper          [kernel.kallsyms]                        [k] find_next_bit
     0.01%  pgrep            ld-2.27.so                               [.] _dl_map_object_from_fd
     0.01%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001088290
     0.01%  perf             [kernel.kallsyms]                        [k] smp_call_function_single
     0.01%  swapper          [kernel.kallsyms]                        [k] __tick_nohz_idle_enter
     0.01%  chrome           chrome                                   [.] 0x0000000003ecffee
     0.01%  swapper          [kernel.kallsyms]                        [k] native_sched_clock
     0.01%  swapper          [kernel.kallsyms]                        [k] update_blocked_averages
     0.01%  Chrome_IOThread  libpthread-2.27.so                       [.] __pthread_mutex_lock
     0.01%  gnome-shell      libglib-2.0.so.0.5600.3                  [.] g_hash_table_lookup
     0.01%  xtl-netreq-4     dropbox                                  [.] _PyObject_GenericGetAttrWithDict
     0.01%  90captive_porta  [kernel.kallsyms]                        [k] get_page_from_freelist
     0.01%  swapper          [kernel.kallsyms]                        [k] hrtimer_active
     0.01%  pgrep            [kernel.kallsyms]                        [k] change_protection_range
     0.01%  swapper          [kernel.kallsyms]                        [k] pm_qos_request
     0.01%  swapper          [kernel.kallsyms]                        [k] set_next_entity
     0.01%  Chrome_ChildIOT  libpthread-2.27.so                       [.] __pthread_mutex_unlock
     0.01%  node             ld-2.27.so                               [.] do_lookup_x
     0.01%  Chrome_ChildIOT  libpthread-2.27.so                       [.] __pthread_mutex_lock
