# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 29K of event 'cycles:ppp'
# Event count (approx.): 21822785868
#
# Overhead  Command          Shared Object                            Symbol                                                                                                                                                                                                                                        
# ........  ...............  .......................................  ..............................................................................................................................................................................................................................................
#
     0.00%  pgrep            [kernel.kallsyms]                        [k] single_release
     0.00%  pgrep            [kernel.kallsyms]                        [k] unlink_anon_vmas
     0.00%  pgrep            [kernel.kallsyms]                        [k] security_file_open
     0.00%  pgrep            [unknown]                                [k] 0xfffffe000008a025
     0.00%  pgrep            [kernel.kallsyms]                        [k] cp_new_stat
     0.00%  sleep            ld-2.27.so                               [.] _dl_lookup_symbol_x
     0.00%  pgrep            libc-2.27.so                             [.] realloc
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] copy_page_to_iter
     0.00%  pgrep            [kernel.kallsyms]                        [k] pmd_devmap_trans_unstable
     0.00%  pgrep            [kernel.kallsyms]                        [k] _vm_normal_page
     0.00%  sleep            [kernel.kallsyms]                        [k] free_pgd_range
     0.00%  sleep            [kernel.kallsyms]                        [k] get_page_from_freelist
     0.00%  pgrep            [kernel.kallsyms]                        [k] sys_openat
     0.00%  pgrep            [kernel.kallsyms]                        [k] __pagevec_lru_add_fn
     0.00%  pgrep            [kernel.kallsyms]                        [k] nd_jump_root
     0.00%  sleep            [kernel.kallsyms]                        [k] expand_files
     0.00%  pgrep            [kernel.kallsyms]                        [k] proc_pid_readdir
     0.00%  migration/5      [kernel.kallsyms]                        [k] update_group_capacity
     0.00%  pgrep            libprocps.so.6.0.0                       [.] 0x0000000000006d10
     0.00%  sleep            ld-2.27.so                               [.] _dl_map_object_from_fd
     0.00%  pgrep            libc-2.27.so                             [.] __init_misc
     0.00%  pgrep            libprocps.so.6.0.0                       [.] 0x0000000000006582
     0.00%  pgrep            [kernel.kallsyms]                        [k] errseq_sample
     0.00%  sleep            ld-2.27.so                               [.] __GI___tunables_init
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] copy_pte_range
     0.00%  pgrep            [unknown]                                [k] 0xfffffe00000e200c
     0.00%  pgrep            [kernel.kallsyms]                        [k] update_load_avg
     0.00%  pgrep            [kernel.kallsyms]                        [k] __clear_user
     0.00%  pgrep            pgrep                                    [.] 0x0000000000002ea4
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] __check_object_size
     0.00%  QtWebEngineProc  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000002b6cbb0
     0.00%  pgrep            libprocps.so.6.0.0                       [.] __snprintf_chk@plt
     0.00%  pgrep            libprocps.so.6.0.0                       [.] 0x000000000000646a
     0.00%  pgrep            [kernel.kallsyms]                        [k] free_unref_page
     0.00%  sleep            [kernel.kallsyms]                        [k] native_flush_tlb_one_user
     0.00%  pgrep            ld-2.27.so                               [.] memset
     0.00%  pgrep            [kernel.kallsyms]                        [k] check_stack_object
     0.00%  pgrep            pgrep                                    [.] 0x0000000000003019
     0.00%  pgrep            [kernel.kallsyms]                        [k] vma_interval_tree_remove
     0.00%  sleep            [kernel.kallsyms]                        [k] ext4_release_file
     0.00%  node             node                                     [.] _ZNK2v88internal13FeedbackNexus12FindHandlersEPSt6vectorINS0_17MaybeObjectHandleESaIS3_EEi
     0.00%  pgrep            [kernel.kallsyms]                        [k] snprintf
     0.00%  pgrep            [kernel.kallsyms]                        [k] vfs_getattr_nosec
     0.00%  pgrep            [kernel.kallsyms]                        [k] file_ra_state_init
     0.00%  sleep            [unknown]                                [k] 0xfffffe000005e00c
     0.00%  pgrep            [kernel.kallsyms]                        [k] security_inode_permission
     0.00%  pgrep            [unknown]                                [k] 0xfffffe000013a025
     0.00%  pgrep            [kernel.kallsyms]                        [k] strchr
     0.00%  sleep            ld-2.27.so                               [.] memset
     0.00%  pgrep            [kernel.kallsyms]                        [k] strnlen_user
     0.00%  node             node                                     [.] _ZN2v88internal10SerializerINS0_26DefaultSerializerAllocatorEE16ObjectSerializer13VisitPointersEPNS0_10HeapObjectEPPNS0_11MaybeObjectES9_
     0.00%  pgrep            [kernel.kallsyms]                        [k] free_unref_page_commit
     0.00%  pgrep            libprocps.so.6.0.0                       [.] 0x000000000000783f
     0.00%  pgrep            [kernel.kallsyms]                        [k] dput
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000003f1ccc0
     0.00%  sleep            [kernel.kallsyms]                        [k] update_curr
     0.00%  pgrep            libprocps.so.6.0.0                       [.] 0x0000000000006cbe
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] release_pages
     0.00%  pgrep            libprocps.so.6.0.0                       [.] memcpy@plt
     0.00%  Xorg             libfb.so                                 [.] _fbGetWindowPixmap
     0.00%  node             [kernel.kallsyms]                        [k] intel_pstate_update_util
     0.00%  node             libpthread-2.27.so                       [.] __pthread_mutex_unlock
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000001bdeae3
     0.00%  node             node                                     [.] _ZN2v88internal14heap_internals27GenerationalBarrierInternalEPNS0_10HeapObjectEmS3_
     0.00%  pgrep            [kernel.kallsyms]                        [k] __alloc_pages_nodemask
     0.00%  swapper          [kernel.kallsyms]                        [k] ttwu_do_wakeup
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001bef165
     0.00%  jetbrains-toolb  libQt5Widgets.so.5.10.1                  [.] 0x000000000014b9d0
     0.00%  node             [kernel.kallsyms]                        [k] _vm_normal_page
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x00000000081a46d0
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] clear_buddies
     0.00%  pgrep            [kernel.kallsyms]                        [k] do_filp_open
     0.00%  node             node                                     [.] _ZN2v88internal10ParserBaseINS0_6ParserEE17ParseForStatementEPNS0_8ZoneListIPKNS0_12AstRawStringEEES9_Pb
     0.00%  node             node                                     [.] _ZN2v88internal26DefaultSerializerAllocator8AllocateENS0_15AllocationSpaceEj
     0.00%  chrome           chrome                                   [.] 0x0000000001a541b2
     0.00%  node             [kernel.kallsyms]                        [k] mark_page_accessed
     0.00%  pgrep            libprocps.so.6.0.0                       [.] 0x0000000000006477
     0.00%  node             node                                     [.] _ZN2v88internal10ParserBaseINS0_6ParserEE18ParseObjectLiteralEPb
     0.00%  node             node                                     [.] _ZN2v88internal7Factory20NewStringFromOneByteENS0_6VectorIKhEENS0_13PretenureFlagE
     0.00%  chrome           chrome                                   [.] 0x000000000301d860
     0.00%  pgrep            pgrep                                    [.] 0x0000000000002efb
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000003b05505
     0.00%  node             node                                     [.] _ZN2v88internal9HashTableINS0_11StringTableENS0_16StringTableShapeEE13EntryForProbeEPNS0_7IsolateEPNS0_6ObjectEij
     0.00%  node             [kernel.kallsyms]                        [k] unmap_page_range
     0.00%  chrome           chrome                                   [.] 0x0000000001b3e7c0
     0.00%  pgrep            [kernel.kallsyms]                        [k] security_task_to_inode
     0.00%  xtl-netreq-4     dropbox                                  [.] objargs_mkstack.constprop.17
     0.00%  pgrep            [unknown]                                [k] 0xfffffe000005e027
     0.00%  teamviewerd      [kernel.kallsyms]                        [k] syscall_return_via_sysret
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] SYSC_sendto
     0.00%  Compositor       [kernel.kallsyms]                        [k] futex_wait_queue_me
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x000000000073b6c4
     0.00%  pgrep            libprocps.so.6.0.0                       [.] strtol@plt
     0.00%  pgrep            [kernel.kallsyms]                        [k] memset
     0.00%  Xorg             [kernel.kallsyms]                        [k] update_load_avg
     0.00%  node             node                                     [.] _ZN2v84base9TimeTicks17HighResolutionNowEv
     0.00%  xtl-netreq-4     [kernel.kallsyms]                        [k] syscall_return_via_sysret
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000003f1a781
     0.00%  pgrep            [kernel.kallsyms]                        [k] memcg_kmem_get_cache
     0.00%  chrome           [kernel.kallsyms]                        [k] __fdget
     0.00%  node             node                                     [.] _ZN2v88internal11interpreter20BytecodeArrayBuilder11LoadLiteralEPNS0_3SmiE
     0.00%  sleep            [kernel.kallsyms]                        [k] mem_cgroup_try_charge
     0.00%  node             [kernel.kallsyms]                        [k] filemap_map_pages
     0.00%  node             [kernel.kallsyms]                        [k] __handle_mm_fault
     0.00%  sleep            [kernel.kallsyms]                        [k] filemap_map_pages
     0.00%  pgrep            [kernel.kallsyms]                        [k] sys_newstat
     0.00%  pgrep            [kernel.kallsyms]                        [k] __follow_mount_rcu.isra.26
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000003f1a280
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x0000000000730980
     0.00%  chrome           chrome                                   [.] 0x0000000003eeb740
     0.00%  pgrep            [kernel.kallsyms]                        [k] vfs_getattr
     0.00%  chrome           chrome                                   [.] 0x0000000006f1396a
     0.00%  swapper          [kernel.kallsyms]                        [k] enqueue_task_fair
     0.00%  node             node                                     [.] _ZN2v88internal19TransitionsAccessor6InsertENS0_6HandleINS0_4NameEEENS2_INS0_3MapEEENS0_20SimpleTransitionFlagE
     0.00%  node             node                                     [.] _ZN2v88internal10StackGuard18PopInterruptsScopeEv
     0.00%  node             [kernel.kallsyms]                        [k] down_write_trylock
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000003f54429
     0.00%  gnome-shell      libmutter-2.so.0.0.0                     [.] 0x000000000008174c
     0.00%  stremio          [kernel.kallsyms]                        [k] syscall_return_via_sysret
     0.00%  node             node                                     [.] _ZN2v88internal8JSObject12MigrateToMapENS0_6HandleIS1_EENS2_INS0_3MapEEEi
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x0000000000738295
     0.00%  node             [kernel.kallsyms]                        [k] memset
     0.00%  pgrep            libprocps.so.6.0.0                       [.] readproc
     0.00%  pgrep            libprocps.so.6.0.0                       [.] 0x00000000000079ea
     0.00%  pgrep            [unknown]                                [k] 0xfffffe000003201e
     0.00%  sleep            [kernel.kallsyms]                        [k] rb_next
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x000000000001fc60
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000003ea9eee
     0.00%  gnome-shell      i965_dri.so                              [.] 0x00000000000c5b79
     0.00%  node             node                                     [.] _ZNK2v88internal3Map14GetConstructorEv
     0.00%  Gecko_IOThread   [kernel.kallsyms]                        [k] _raw_spin_lock_irqsave
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] sys_epoll_wait
     0.00%  Chrome_IOThread  libc-2.27.so                             [.] __posix_memalign
     0.00%  chrome           chrome                                   [.] 0x0000000003f37040
     0.00%  chrome           chrome                                   [.] 0x00000000037b1038
     0.00%  pgrep            [kernel.kallsyms]                        [k] __call_rcu.constprop.69
     0.00%  pgrep            pgrep                                    [.] 0x00000000000031a3
     0.00%  node             libc-2.27.so                             [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  teamviewerd      [kernel.kallsyms]                        [k] get_pid_task
     0.00%  pgrep            libprocps.so.6.0.0                       [.] 0x000000000000642d
     0.00%  gnome-shell      libglapi.so.0.0.0                        [.] 0x000000000000cbe0
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x0000000000730750
     0.00%  Web Content      firefox                                  [.] free
     0.00%  xtl-netreq-4     dropbox                                  [.] PyTuple_SetItem
     0.00%  dockerd          dockerd-ce                               [.] runtime.schedule
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] select_task_rq_fair
     0.00%  Xorg             [kernel.kallsyms]                        [k] ilk_compute_pipe_wm
     0.00%  Compositor       libstdc++.so.6.0.25                      [.] 0x00000000000a9e10
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] _raw_spin_lock
     0.00%  pgrep            libc-2.27.so                             [.] __sprintf_chk
     0.00%  gnome-shell      libst-1.0.so                             [.] 0x000000000001d58b
     0.00%  node             perf-6806.map                            [.] Handler:CreateClosure
     0.00%  Xorg             [kernel.kallsyms]                        [k] do_syscall_64
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000003b0541a
     0.00%  stremio          [kernel.kallsyms]                        [k] fput
     0.00%  sleep            [kernel.kallsyms]                        [k] native_irq_return_iret
     0.00%  stremio          libglib-2.0.so.0.5600.3                  [.] 0x000000000004943f
     0.00%  teamviewerd      teamviewerd                              [.] 0x0000000000483dc2
     0.00%  chrome           [unknown]                                [k] 0xfffffe000005e01b
     0.00%  chrome           [kernel.kallsyms]                        [k] update_curr
     0.00%  gnome-shell      libst-1.0.so                             [.] 0x000000000001d527
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] sys_write
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001bd1400
     0.00%  Timer            libxul.so                                [.] 0x00000000008ebef5
     0.00%  gnome-terminal-  libgtk-3.so.0.2200.30                    [.] gdk_window_begin_draw_frame@plt
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] futex_wake
     0.00%  chrome           chrome                                   [.] 0x0000000003eddac3
     0.00%  Chrome_ChildIOT  [vdso]                                   [.] __vdso_clock_gettime
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] alloc_vmap_area
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x00000000000452d3
     0.00%  chrome           chrome                                   [.] 0x0000000003efd190
     0.00%  chrome           chrome                                   [.] 0x00000000037a4f30
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x000000000073078c
     0.00%  chrome           chrome                                   [.] 0x0000000003ed0027
     0.00%  teamviewerd      [kernel.kallsyms]                        [k] prepend_name
     0.00%  node             [kernel.kallsyms]                        [k] generic_write_end
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x000000000003f580
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x0000000000042017
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] handle_mm_fault
     0.00%  chrome           chrome                                   [.] 0x000000000676a101
     0.00%  chrome           chrome                                   [.] 0x000000000334ea54
     0.00%  swapper          [kernel.kallsyms]                        [k] find_busiest_group
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] __sys_recvmsg
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x000000000108413c
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001bdb67c
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000026e8420
     0.00%  node             [kernel.kallsyms]                        [k] __mod_node_page_state
     0.00%  Chrome_IOThread  libevent-2.1.so.6.0.2                    [.] event_add_nolock_
     0.00%  gnome-shell      i965_dri.so                              [.] 0x00000000001aaa9c
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] __fget
     0.00%  stremio          [kernel.kallsyms]                        [k] __indirect_thunk_start
     0.00%  node             node                                     [.] _ZN2v88internal4Heap26AllocateRawWithRetryOrFailEiNS0_15AllocationSpaceENS0_19AllocationAlignmentE
     0.00%  Timer            [vdso]                                   [.] __vdso_clock_gettime
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x000000000001783a
     0.00%  gnome-shell      libpthread-2.27.so                       [.] __pthread_mutex_lock
     0.00%  swapper          [kernel.kallsyms]                        [k] quiet_vmstat
     0.00%  chrome           chrome                                   [.] 0x000000000196ef6a
     0.00%  swapper          [kernel.kallsyms]                        [k] note_gp_changes
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] handle_pte_fault
     0.00%  chrome           chrome                                   [.] 0x000000000339187a
     0.00%  chrome           [kernel.kallsyms]                        [k] __virt_addr_valid
     0.00%  chrome           chrome                                   [.] 0x0000000006443cb7
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x000000000005ebfb
     0.00%  teamviewerd      teamviewerd                              [.] 0x00000000000077d0
     0.00%  swapper          [kernel.kallsyms]                        [k] rb_erase
     0.00%  gnome-shell      libst-1.0.so                             [.] st_adjustment_get_value
     0.00%  node             [kernel.kallsyms]                        [k] crypto_shash_update
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000003f1cdf6
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x000000000073ccd9
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] apparmor_file_permission
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x000000000001fd53
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] sock_poll
     0.00%  pgrep            libprocps.so.6.0.0                       [.] 0x0000000000006503
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] entry_SYSCALL_64_stage2
     0.00%  perf             [kernel.kallsyms]                        [k] jbd2__journal_start
     0.00%  swapper          [kernel.kallsyms]                        [k] __hrtimer_run_queues
     0.00%  pgrep            [kernel.kallsyms]                        [k] kernfs_fop_open
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] intel_engine_cmd_parser
     0.00%  node             node                                     [.] _ZN2v88internal12DeserializerINS0_28BuiltinDeserializerAllocatorEE8ReadDataEPPNS0_11MaybeObjectES6_im
     0.00%  chrome           chrome                                   [.] 0x000000000338bf87
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x000000000003f574
     0.00%  pgrep            [kernel.kallsyms]                        [k] error_entry
     0.00%  pgrep            [kernel.kallsyms]                        [k] mprotect_fixup
     0.00%  chrome           libxcb.so.1.1.0                          [.] xcb_poll_for_event
     0.00%  xtl-netreq-4     dropbox                                  [.] PyMethod_New
     0.00%  gnome-shell      libmutter-clutter-2.so                   [.] 0x00000000000b5c10
     0.00%  gsd-sharing      libgobject-2.0.so.0.5600.3               [.] 0x00000000000237c4
     0.00%  Web Content      [kernel.kallsyms]                        [k] import_iovec
     0.00%  node             [kernel.kallsyms]                        [k] cpuacct_account_field
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] cogl_pipeline_foreach_layer
     0.00%  xtl-netreq-4     dropbox                                  [.] _PyObject_Malloc
     0.00%  teamviewerd      teamviewerd                              [.] 0x0000000000088358
     0.00%  stremio          libc-2.27.so                             [.] __clock_gettime
     0.00%  stremio          libQt5Widgets.so.5.9.5                   [.] _ZN23QCoreApplicationPrivate34sendThroughApplicationEventFiltersEP7QObjectP6QEvent@plt
     0.00%  swapper          [kernel.kallsyms]                        [k] clockevents_program_event
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] cogl_matrix_init_identity
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x0000000000044b08
     0.00%  swapper          [kernel.kallsyms]                        [k] cpu_load_update_nohz_start
     0.00%  Web Content      [kernel.kallsyms]                        [k] sys_recvmsg
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] update_blocked_averages
     0.00%  Compositor       [kernel.kallsyms]                        [k] snd_hda_attach_beep_device
     0.00%  Compositor       [vdso]                                   [.] 0x0000000000000970
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010ad070
     0.00%  irq/32-iwlwifi   [kernel.kallsyms]                        [k] fib_table_lookup
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x0000000000721f1e
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] add_mm_counter_fast.part.59
     0.00%  stremio          libglib-2.0.so.0.5600.3                  [.] 0x000000000004c46b
     0.00%  node             libc-2.27.so                             [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.00%  Web Content      libxul.so                                [.] 0x0000000003d41b29
     0.00%  gnome-shell      libm-2.27.so                             [.] __ieee754_log_fma
     0.00%  chrome           chrome                                   [.] 0x000000000338b0f3
     0.00%  node             [kernel.kallsyms]                        [k] mem_cgroup_page_lruvec
     0.00%  gnome-shell      libgobject-2.0.so.0.5600.3               [.] g_value_set_boolean
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] find_busiest_group
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] i915_gem_madvise_ioctl
     0.00%  pgrep            [kernel.kallsyms]                        [k] __check_heap_object
     0.00%  stremio          [vdso]                                   [.] 0x0000000000000974
     0.00%  gnome-shell      libgnome-desktop-3.so.17.0.0             [.] 0x000000000002a0f0
     0.00%  gnome-shell      libmutter-2.so.0.0.0                     [.] meta_texture_tower_get_paint_texture
     0.00%  firefox          libxul.so                                [.] 0x0000000000d77d60
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] select_estimate_accuracy
     0.00%  gnome-terminal-  libcairo.so.2.11510.0                    [.] 0x000000000009f250
     0.00%  jetbrains-toolb  libQt5Core.so.5.10.1                     [.] 0x00000000002d35cd
     0.00%  stremio          [kernel.kallsyms]                        [k] __pollwait
     0.00%  swapper          [kernel.kallsyms]                        [k] refresh_cpu_vm_stats
     0.00%  node             node                                     [.] _ZN2v84base2OS6FPrintEP8_IO_FILEPKcz
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] snd_hda_attach_beep_device
     0.00%  sublime_text     libglib-2.0.so.0.5600.3                  [.] g_hash_table_lookup
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] __fget
     0.00%  gnome-shell      libmutter-2.so.0.0.0                     [.] clutter_actor_has_allocation@plt
     0.00%  WebExtensions    libxul.so                                [.] 0x0000000003ff897f
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010dad60
     0.00%  Compositor       [kernel.kallsyms]                        [k] syscall_return_via_sysret
     0.00%  sleep            [kernel.kallsyms]                        [k] _raw_spin_lock
     0.00%  sleep            [kernel.kallsyms]                        [k] unlock_page_memcg
     0.00%  gnome-shell      i965_dri.so                              [.] 0x00000000003135f4
     0.00%  pgrep            [kernel.kallsyms]                        [k] __fget
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] follow_page_mask
     0.00%  Web Content      libxul.so                                [.] 0x0000000003eaf05c
     0.00%  gnome-terminal-  libdbus-1.so.3.19.4                      [.] _dbus_connection_unlock
     0.00%  stremio          [kernel.kallsyms]                        [k] current_kernel_time64
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010a11c0
     0.00%  Web Content      libxul.so                                [.] 0x0000000003e3cfae
     0.00%  stremio          [kernel.kallsyms]                        [k] select_estimate_accuracy
     0.00%  stremio          libxcb.so.1.1.0                          [.] __errno_location@plt
     0.00%  stremio          [unknown]                                [k] 0xfffffe000013a01e
     0.00%  swapper          [kernel.kallsyms]                        [k] wake_up_process
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] fsnotify_grab_connector
     0.00%  swapper          [kernel.kallsyms]                        [k] sched_clock_idle_wakeup_event
     0.00%  chrome           libpthread-2.27.so                       [.] __pthread_mutex_unlock
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] enqueue_entity
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] timerqueue_add
     0.00%  chrome           libglib-2.0.so.0.5600.3                  [.] g_mutex_lock
     0.00%  node             [kernel.kallsyms]                        [k] kfree
     0.00%  chrome           chrome                                   [.] 0x00000000019b3ae0
     0.00%  pgrep            [kernel.kallsyms]                        [k] __do_page_fault
     0.00%  chrome           chrome                                   [.] 0x000000000339a987
     0.00%  gnome-shell      i965_dri.so                              [.] 0x000000000048cb90
     0.00%  stremio          libX11.so.6.3.0                          [.] 0x000000000002bebb
     0.00%  gnome-shell      i965_dri.so                              [.] 0x00000000006c793e
     0.00%  pgrep            [kernel.kallsyms]                        [k] vma_set_page_prot
     0.00%  chrome           chrome                                   [.] 0x00000000028ac045
     0.00%  sublime_text     [kernel.kallsyms]                        [k] unix_stream_read_generic
     0.00%  Compositor       [kernel.kallsyms]                        [k] plist_add
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] __wake_up_common
     0.00%  gnome-shell      i965_dri.so                              [.] 0x00000000001ab3f9
     0.00%  Xorg             [kernel.kallsyms]                        [k] mutex_unlock
     0.00%  chrome           libglib-2.0.so.0.5600.3                  [.] g_private_get
     0.00%  chrome           [kernel.kallsyms]                        [k] __switch_to
     0.00%  Compositor       libc-2.27.so                             [.] __memset_avx2_unaligned_erms
     0.00%  gnome-shell      i965_dri.so                              [.] 0x000000000047d4ef
     0.00%  Web Content      libxul.so                                [.] 0x0000000003e79043
     0.00%  chrome           chrome                                   [.] 0x0000000006dfdbfd
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] kmem_cache_free
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010e49c0
     0.00%  chrome           chrome                                   [.] 0x0000000003eddb4a
     0.00%  gnome-shell      libgjs.so.0.0.0                          [.] gjs_hyphen_from_camel
     0.00%  chrome           chrome                                   [.] 0x0000000003b00843
     0.00%  thermald         libstdc++.so.6.0.25                      [.] _ZNSirsERi
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x000000000072cfa1
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] __radix_tree_lookup
     0.00%  pgrep            libc-2.27.so                             [.] getenv
     0.00%  Web Content      libxul.so                                [.] 0x0000000003e79104
     0.00%  sleep            libc-2.27.so                             [.] intel_check_word.isra.0
     0.00%  node             [kernel.kallsyms]                        [k] start_this_handle
     0.00%  chrome           chrome                                   [.] 0x0000000003af0d9f
     0.00%  WebExtensions    libxul.so                                [.] 0x00000000029898b0
     0.00%  xtl-netreq-4     dropbox                                  [.] sqlite3VdbeExec
     0.00%  swapper          [kernel.kallsyms]                        [k] page_counter_cancel
     0.00%  stremio          libglib-2.0.so.0.5600.3                  [.] g_main_context_prepare
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                  [.] g_main_context_prepare
     0.00%  Web Content      libc-2.27.so                             [.] __clock_gettime
     0.00%  chrome           chrome                                   [.] 0x0000000001998d00
     0.00%  perf             [kernel.kallsyms]                        [k] _raw_spin_unlock_irqrestore
     0.00%  Chrome_IOThread  [unknown]                                [k] 0xfffffe000008a01b
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] timespec_trunc
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] __slab_free
     0.00%  Compositor       [kernel.kallsyms]                        [k] __calc_delta
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010db0e3
     0.00%  Web Content      libglib-2.0.so.0.5600.3                  [.] g_mutex_lock
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] poll_freewait
     0.00%  gnome-shell      libmutter-clutter-2.so                   [.] clutter_paint_volume_free
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x000000000004b042
     0.00%  stremio          libX11.so.6.3.0                          [.] XPending
     0.00%  pgrep            [kernel.kallsyms]                        [k] anon_vma_interval_tree_insert
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] i915_vma_retire
     0.00%  chrome           perf-21365.map                           [.] 0x00003ec573ba7e2a
     0.00%  stremio          [kernel.kallsyms]                        [k] do_sys_poll
     0.00%  swapper          [kernel.kallsyms]                        [k] __update_load_avg_se.isra.38
     0.00%  Timer            libxul.so                                [.] 0x0000000000819fd0
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] kmem_cache_alloc_node
     0.00%  chrome           chrome                                   [.] 0x00000000032e450c
     0.00%  node             [kernel.kallsyms]                        [k] kmem_cache_free
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000003f44bfc
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010db0da
     0.00%  pgrep            libdl-2.27.so                            [.] _init
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] perf_event_mmap
     0.00%  stremio          [unknown]                                [k] 0xfffffe00000e201b
     0.00%  chrome           [kernel.kallsyms]                        [k] __indirect_thunk_start
