# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles:ppp'
# Event count (approx.): 23039810842
#
# Overhead  Command          Shared Object                           Symbol                                                                                                                                                                                                          
# ........  ...............  ......................................  ................................................................................................................................................................................................................
#
     0.04%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_type_check_instance_is_a
     0.04%  gnome-shell      libpthread-2.27.so                      [.] __pthread_getspecific
     0.04%  pgrep            ld-2.27.so                              [.] do_lookup_x
     0.04%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_slice_free1
     0.03%  pgrep            libc-2.27.so                            [.] vfprintf
     0.03%  pgrep            [kernel.kallsyms]                       [k] bitmap_string.isra.8
     0.03%  gnome-shell      ld-2.27.so                              [.] _dl_find_dso_for_object
     0.03%  pgrep            [kernel.kallsyms]                       [k] put_dec_trunc8
     0.03%  pgrep            [kernel.kallsyms]                       [k] radix_tree_next_chunk
     0.03%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_datalist_id_dup_data
     0.03%  swapper          [kernel.kallsyms]                       [k] native_write_msr
     0.03%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_get_type
     0.03%  pgrep            [kernel.kallsyms]                       [k] kmem_cache_alloc
     0.03%  pgrep            [kernel.kallsyms]                       [k] lookup_fast
     0.03%  swapper          [kernel.kallsyms]                       [k] __schedule
     0.03%  pgrep            [kernel.kallsyms]                       [k] seq_vprintf
     0.03%  swapper          [kernel.kallsyms]                       [k] timerqueue_add
     0.02%  node             node                                    [.] _ZN2v88internal7Scanner28ScanIdentifierOrKeywordInnerEPNS1_12LiteralScopeE
     0.02%  node             [kernel.kallsyms]                       [k] filemap_map_pages
     0.02%  pgrep            [kernel.kallsyms]                       [k] kmem_cache_free
     0.02%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_type_check_instance_cast
     0.02%  pgrep            libc-2.27.so                            [.] __memcmp_avx2_movbe
     0.02%  pgrep            [kernel.kallsyms]                       [k] task_work_run
     0.02%  pgrep            [unknown]                               [k] 0xfffffe000000601b
     0.02%  gnome-shell      libc-2.27.so                            [.] cfree@GLIBC_2.2.5
     0.02%  pgrep            ld-2.27.so                              [.] strcmp
     0.02%  pgrep            [kernel.kallsyms]                       [k] strnlen
     0.02%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] 0x0000000000020916
     0.02%  pgrep            [kernel.kallsyms]                       [k] map_id_up
     0.02%  pgrep            [kernel.kallsyms]                       [k] __check_object_size
     0.02%  sleep            libc-2.27.so                            [.] _dl_addr
     0.02%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] g_base_info_unref
     0.02%  gnome-shell      libc-2.27.so                            [.] malloc
     0.02%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] 0x0000000000020641
     0.02%  pgrep            [kernel.kallsyms]                       [k] __indirect_thunk_start
     0.02%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_slice_alloc
     0.02%  node             node                                    [.] _ZN2v88internal4Zone3NewEm
     0.02%  pgrep            [kernel.kallsyms]                       [k] kmem_cache_alloc_trace
     0.02%  Xorg             libpixman-1.so.0.34.0                   [.] pixman_rasterize_edges
     0.02%  swapper          [kernel.kallsyms]                       [k] hrtimer_start_range_ns
     0.02%  pgrep            [kernel.kallsyms]                       [k] follow_page_pte
     0.02%  pgrep            [kernel.kallsyms]                       [k] __d_lookup_rcu
     0.02%  pgrep            [kernel.kallsyms]                       [k] link_path_walk
     0.02%  gnome-shell      libgjs.so.0.0.0                         [.] gjs_hyphen_from_camel
     0.02%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000006447
     0.02%  pgrep            [kernel.kallsyms]                       [k] rcu_all_qs
     0.02%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_mutex_lock
     0.02%  pgrep            [kernel.kallsyms]                       [k] unmap_page_range
     0.02%  pgrep            [kernel.kallsyms]                       [k] do_syscall_64
     0.02%  pgrep            [kernel.kallsyms]                       [k] task_dump_owner
     0.02%  pgrep            [kernel.kallsyms]                       [k] string_escape_mem
     0.02%  pgrep            [kernel.kallsyms]                       [k] strncpy_from_user
     0.02%  pgrep            [kernel.kallsyms]                       [k] seq_puts
     0.02%  pgrep            [kernel.kallsyms]                       [k] lockref_get_not_dead
     0.02%  pgrep            [kernel.kallsyms]                       [k] lockref_put_return
     0.02%  pgrep            [kernel.kallsyms]                       [k] filp_close
     0.02%  pgrep            [kernel.kallsyms]                       [k] do_dentry_open
     0.02%  Xorg             libfb.so                                [.] _fbGetWindowPixmap
     0.02%  pgrep            libc-2.27.so                            [.] __GI_____strtoull_l_internal
     0.02%  pgrep            [kernel.kallsyms]                       [k] __x86_indirect_thunk_rcx
     0.02%  pgrep            [unknown]                               [k] 0xfffffe000008a01b
     0.02%  swapper          [kernel.kallsyms]                       [k] file_free_rcu
     0.02%  pgrep            [kernel.kallsyms]                       [k] mntput_no_expire
     0.02%  gnome-shell      ld-2.27.so                              [.] do_lookup_x
     0.02%  swapper          [kernel.kallsyms]                       [k] update_load_avg
     0.01%  Xorg             libc-2.27.so                            [.] __memmove_avx_unaligned_erms
     0.01%  swapper          [kernel.kallsyms]                       [k] do_idle
     0.01%  swapper          [kernel.kallsyms]                       [k] switch_mm_irqs_off
     0.01%  pgrep            [kernel.kallsyms]                       [k] filemap_map_pages
     0.01%  node             perf-2458.map                           [.] 0x00002ab930be58aa
     0.01%  pgrep            [kernel.kallsyms]                       [k] __fsnotify_parent
     0.01%  pgrep            libc-2.27.so                            [.] __close
     0.01%  swapper          [kernel.kallsyms]                       [k] gen6_read32
     0.01%  pgrep            [kernel.kallsyms]                       [k] __access_remote_vm
     0.01%  gnome-shell      libst-1.0.so                            [.] st_widget_get_theme_node
     0.01%  pgrep            [kernel.kallsyms]                       [k] __task_pid_nr_ns
     0.01%  pgrep            [kernel.kallsyms]                       [k] __inode_permission
     0.01%  pgrep            [kernel.kallsyms]                       [k] follow_page_mask
     0.01%  pgrep            [kernel.kallsyms]                       [k] apparmor_file_alloc_security
     0.01%  pgrep            [kernel.kallsyms]                       [k] apparmor_file_free_security
     0.01%  pgrep            [kernel.kallsyms]                       [k] set_root
     0.01%  pgrep            [kernel.kallsyms]                       [k] put_dec
     0.01%  pgrep            [kernel.kallsyms]                       [k] _cond_resched
     0.01%  pgrep            [kernel.kallsyms]                       [k] get_page_from_freelist
     0.01%  swapper          [kernel.kallsyms]                       [k] _raw_spin_lock_irqsave
     0.01%  pgrep            ld-2.27.so                              [.] _dl_relocate_object
     0.01%  swapper          [kernel.kallsyms]                       [k] load_new_mm_cr3
     0.01%  chrome           chrome                                  [.] 0x0000000002b4c0de
     0.01%  pgrep            [kernel.kallsyms]                       [k] do_sys_open
     0.01%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_get_next_sibling
     0.01%  swapper          [kernel.kallsyms]                       [k] cpuidle_enter_state
     0.01%  gnome-shell      [kernel.kallsyms]                       [k] intel_engine_cmd_parser
     0.01%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_is_visible
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_type_is_a
     0.01%  gsd-color        libglib-2.0.so.0.5600.3                 [.] 0x0000000000049481
     0.01%  pgrep            [kernel.kallsyms]                       [k] pid_nr_ns
     0.01%  pgrep            [kernel.kallsyms]                       [k] idr_get_next
     0.01%  swapper          [kernel.kallsyms]                       [k] __tick_nohz_idle_enter
     0.01%  Xorg             [kernel.kallsyms]                       [k] shmem_getpage_gfp
     0.01%  pgrep            libc-2.27.so                            [.] _dl_addr
     0.01%  swapper          [kernel.kallsyms]                       [k] rb_next
     0.01%  sublime_text     libpixman-1.so.0.34.0                   [.] 0x000000000008c4e9
     0.01%  node             [kernel.kallsyms]                       [k] get_page_from_freelist
     0.01%  swapper          [kernel.kallsyms]                       [k] rb_erase
     0.01%  Chrome_ChildIOT  chrome                                  [.] _fini
     0.01%  swapper          [kernel.kallsyms]                       [k] native_sched_clock
     0.01%  chrome           libc-2.27.so                            [.] __memcmp_avx2_movbe
     0.01%  swapper          [kernel.kallsyms]                       [k] xhci_irq
     0.01%  gnome-shell      libgjs.so.0.0.0                         [.] gjs_object_from_g_object
     0.01%  swapper          [kernel.kallsyms]                       [k] _raw_spin_lock
     0.01%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_paint_volume_free
     0.01%  node             node                                    [.] EVP_CIPHER_CTX_block_size
     0.01%  Xorg             Xorg                                    [.] dixLookupResourceByClass
     0.01%  sublime_text     libpixman-1.so.0.34.0                   [.] 0x000000000008c4d8
     0.01%  swapper          [kernel.kallsyms]                       [k] update_blocked_averages
     0.01%  chrome           chrome                                  [.] cfree
     0.01%  plugin_host      plugin_host                             [.] PyEval_EvalFrameEx
     0.01%  gnome-shell      [kernel.kallsyms]                       [k] syscall_return_via_sysret
     0.01%  node             node                                    [.] _ZN2v88internal10ParserBaseINS0_9PreParserEE22ParsePrimaryExpressionEPbS4_
     0.01%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_paint
     0.01%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_get_transformed_paint_volume
     0.01%  swapper          [kernel.kallsyms]                       [k] schedule_idle
     0.01%  node             node                                    [.] _ZN2v88internal11interpreter20ConstantArrayBuilder6InsertEPKNS0_12AstRawStringE
     0.01%  Web Content      [kernel.kallsyms]                       [k] __fget
     0.01%  pgrep            [kernel.kallsyms]                       [k] security_file_open
     0.01%  pgrep            [kernel.kallsyms]                       [k] bitmap_list_string.isra.7
     0.01%  pgrep            [kernel.kallsyms]                       [k] prefetch_freepointer
     0.01%  pgrep            [kernel.kallsyms]                       [k] seq_read
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_type_check_instance_is_fundamentally_a
     0.01%  node             node                                    [.] _ZN2v88internal5Scope15LookupRecursiveEPNS0_9ParseInfoEPNS0_13VariableProxyEPS1_
     0.01%  pgrep            libc-2.27.so                            [.] realloc
     0.01%  pgrep            [kernel.kallsyms]                       [k] fsnotify
     0.01%  pgrep            [kernel.kallsyms]                       [k] generic_permission
     0.01%  pgrep            [kernel.kallsyms]                       [k] __fput
     0.01%  gnome-shell      libc-2.27.so                            [.] _int_malloc
     0.01%  pgrep            [kernel.kallsyms]                       [k] strchr
     0.01%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000006442
     0.01%  pgrep            [kernel.kallsyms]                       [k] __kmalloc_node
     0.01%  pgrep            libc-2.27.so                            [.] _int_malloc
     0.01%  pgrep            [kernel.kallsyms]                       [k] dput.part.23
     0.01%  pgrep            [kernel.kallsyms]                       [k] proc_single_show
     0.01%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000006d17
     0.01%  pgrep            [kernel.kallsyms]                       [k] get_task_mm
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_object_unref
     0.01%  Xorg             [kernel.kallsyms]                       [k] clear_page_erms
     0.01%  gnome-shell      ld-2.27.so                              [.] _dl_lookup_symbol_x
     0.01%  pgrep            [kernel.kallsyms]                       [k] string
     0.01%  pgrep            [kernel.kallsyms]                       [k] _find_next_bit
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] 0x00000000000208ed
     0.01%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000012a61
     0.01%  swapper          [kernel.kallsyms]                       [k] set_next_entity
     0.01%  pgrep            [kernel.kallsyms]                       [k] __call_rcu.constprop.69
     0.01%  pgrep            [kernel.kallsyms]                       [k] proc_pid_cmdline_read
     0.01%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] g_base_info_ref
     0.01%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] g_object_info_get_property
     0.01%  pgrep            [kernel.kallsyms]                       [k] do_filp_open
     0.01%  chrome           [kernel.kallsyms]                       [k] unix_stream_read_generic
     0.01%  pgrep            [kernel.kallsyms]                       [k] entry_SYSCALL_64_after_hwframe
     0.01%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000006119a7
     0.01%  pgrep            [kernel.kallsyms]                       [k] lockref_put_or_lock
     0.01%  stremio          [kernel.kallsyms]                       [k] __fget
     0.01%  gnome-shell      libgjs.so.0.0.0                         [.] gjs_value_from_g_argument
     0.01%  gnome-shell      [kernel.kallsyms]                       [k] i915_vma_retire
     0.01%  pgrep            [kernel.kallsyms]                       [k] __get_user_pages
     0.01%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000073b7c8
     0.01%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000012ac2
     0.01%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000004cab60
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_signal_emit_valist
     0.01%  gnome-shell      libgjs.so.0.0.0                         [.] gjs_get_string_id
     0.01%  chrome           chrome                                  [.] 0x0000000003ed0027
     0.01%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_get_preferred_width
     0.01%  swapper          [kernel.kallsyms]                       [k] rcu_idle_exit
     0.01%  node             node                                    [.] _ZN2v88internal12DeserializerINS0_28DefaultDeserializerAllocatorEE8ReadDataEPPNS0_11MaybeObjectES6_im
     0.01%  sublime_text     libc-2.27.so                            [.] _int_malloc
     0.01%  stremio          libglib-2.0.so.0.5600.3                 [.] g_main_context_query
     0.01%  pgrep            [kernel.kallsyms]                       [k] vma_interval_tree_remove
     0.01%  swapper          [kernel.kallsyms]                       [k] ktime_get
     0.01%  pgrep            [kernel.kallsyms]                       [k] path_openat
     0.01%  swapper          [kernel.kallsyms]                       [k] _find_next_bit
     0.01%  stremio          libglib-2.0.so.0.5600.3                 [.] g_main_context_check
     0.01%  swapper          [kernel.kallsyms]                       [k] __switch_to
     0.01%  swapper          [kernel.kallsyms]                       [k] get_cpu_device
     0.01%  gnome-shell      libmutter-cogl-2.so                     [.] _cogl_context_get_default
     0.01%  pgrep            [kernel.kallsyms]                       [k] copy_page
     0.01%  Xorg             Xorg                                    [.] 0x00000000000cc1b1
     0.01%  node             [kernel.kallsyms]                       [k] clear_page_erms
     0.01%  Xorg             libc-2.27.so                            [.] cfree@GLIBC_2.2.5
     0.01%  Xorg             [kernel.kallsyms]                       [k] syscall_return_via_sysret
     0.01%  Web Content      [kernel.kallsyms]                       [k] _raw_spin_lock
     0.01%  Chrome_IOThread  chrome                                  [.] _fini
     0.01%  Xorg             Xorg                                    [.] 0x00000000000cc1c5
     0.01%  swapper          [kernel.kallsyms]                       [k] rcu_cblist_dequeue
     0.01%  pgrep            ld-2.27.so                              [.] _dl_map_object_from_fd
     0.01%  node             node                                    [.] _ZN2v88internal10ParserBaseINS0_6ParserEE26IsValidReferenceExpressionEPNS0_10ExpressionE
     0.01%  swapper          [kernel.kallsyms]                       [k] __next_timer_interrupt
     0.01%  chrome           libc-2.27.so                            [.] __clock_gettime
     0.01%  node             node                                    [.] _ZN2v88internal11StoreBuffer26MoveEntriesToRememberedSetEi
     0.01%  swapper          [kernel.kallsyms]                       [k] refresh_cpu_vm_stats
     0.01%  90captive_porta  [kernel.kallsyms]                       [k] alloc_set_pte
     0.01%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_main_context_prepare
     0.01%  chrome           [kernel.kallsyms]                       [k] syscall_return_via_sysret
     0.01%  node             [kernel.kallsyms]                       [k] perf_event_mmap_output
     0.01%  node             [kernel.kallsyms]                       [k] intel_pstate_update_util
     0.01%  node             perf-2458.map                           [.] 0x00002ab930be5887
     0.01%  stremio          [kernel.kallsyms]                       [k] __indirect_thunk_start
     0.01%  swapper          [kernel.kallsyms]                       [k] pick_next_entity
     0.01%  node             node                                    [.] _ZN2v88internal15AstValueFactory9GetStringEjbNS0_6VectorIKhEE
     0.01%  sublime_text     libpthread-2.27.so                      [.] __libc_write
     0.01%  Xorg             Xorg                                    [.] 0x00000000000cc1d6
     0.01%  node             node                                    [.] _ZN2v88internal5Scope19DeclareVariableNameEPKNS0_12AstRawStringENS0_12VariableModeE
     0.01%  node             node                                    [.] _ZNK2v88internal25UnoptimizedCompilationJob22RecordCompilationStatsEPNS0_7IsolateE
     0.01%  node             node                                    [.] _ZN2v88internal6LoadIC14ComputeHandlerEPNS0_14LookupIteratorE
     0.01%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000012a4f
     0.01%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] g_irepository_find_by_gtype
     0.01%  node             node                                    [.] _ZN2v88internal16DeclarationScope16AnalyzePartiallyEPNS0_14AstNodeFactoryE
     0.01%  Compositor       libc-2.27.so                            [.] cfree@GLIBC_2.2.5
     0.01%  gnome-shell      i965_dri.so                             [.] 0x000000000048cc47
     0.01%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000007307cb
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_type_check_instance
     0.01%  pgrep            libprocps.so.6.0.0                      [.] readproc
     0.01%  node             libc-2.27.so                            [.] malloc
     0.01%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000008b10
     0.01%  node             libc-2.27.so                            [.] __memcmp_avx2_movbe
     0.01%  pgrep            [kernel.kallsyms]                       [k] _raw_spin_lock_irq
     0.01%  swapper          [kernel.kallsyms]                       [k] lock_hrtimer_base.isra.20
     0.01%  node             node                                    [.] _ZN2v88internal7Scanner4NextEv
     0.01%  perf             [kernel.kallsyms]                       [k] free_bprm
     0.01%  gnome-shell      libst-1.0.so                            [.] st_theme_node_get_paint_box
     0.01%  gnome-shell      [kernel.kallsyms]                       [k] i915_gem_do_execbuffer
     0.01%  gnome-shell      libpthread-2.27.so                      [.] __pthread_rwlock_unlock
     0.01%  Xorg             [kernel.kallsyms]                       [k] get_mem_cgroup_from_mm
     0.01%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x0000000000730960
     0.01%  pgrep            [unknown]                               [k] 0xfffffe00000e201b
     0.01%  pgrep            libc-2.27.so                            [.] __strlen_avx2
     0.01%  node             [kernel.kallsyms]                       [k] unmap_page_range
     0.01%  pgrep            libprocps.so.6.0.0                      [.] strchr@plt
     0.01%  pgrep            [kernel.kallsyms]                       [k] security_inode_permission
     0.01%  pgrep            [kernel.kallsyms]                       [k] get_mem_cgroup_from_mm
     0.01%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000006dd6
     0.01%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000002d1a60
     0.01%  pgrep            [kernel.kallsyms]                       [k] skip_atoi
     0.01%  pgrep            libprocps.so.6.0.0                      [.] 0x000000000000644b
     0.01%  pgrep            libc-2.27.so                            [.] cfree@GLIBC_2.2.5
     0.01%  pgrep            libc-2.27.so                            [.] _IO_default_xsputn
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] 0x0000000000020909
     0.01%  pgrep            [kernel.kallsyms]                       [k] getname_flags
     0.01%  pgrep            [kernel.kallsyms]                       [k] follow_pmd_mask
     0.01%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000006487
     0.01%  pgrep            [kernel.kallsyms]                       [k] __close_fd
     0.01%  pgrep            [kernel.kallsyms]                       [k] free_unref_page
     0.01%  pgrep            [kernel.kallsyms]                       [k] path_lookupat
     0.01%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_private_get
     0.01%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000006cbe
     0.01%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] pthread_getspecific@plt
     0.01%  pgrep            libc-2.27.so                            [.] __GI___libc_open
     0.01%  pgrep            ld-2.27.so                              [.] _dl_lookup_symbol_x
     0.01%  pgrep            libc-2.27.so                            [.] __vsnprintf_chk
     0.01%  pgrep            [kernel.kallsyms]                       [k] arch_prctl_spec_ctrl_get
     0.01%  sleep            [kernel.kallsyms]                       [k] try_charge
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_type_class_unref
     0.01%  stremio          libc-2.27.so                            [.] _int_malloc
     0.01%  pgrep            libc-2.27.so                            [.] re_search_internal
     0.01%  pgrep            [kernel.kallsyms]                       [k] walk_component
     0.01%  gnome-shell      libc-2.27.so                            [.] _dl_sym
     0.01%  pgrep            [kernel.kallsyms]                       [k] mntput
     0.01%  gnome-shell      [kernel.kallsyms]                       [k] _raw_spin_lock_irqsave
     0.01%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000006d34
     0.01%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_str_hash
     0.01%  gnome-shell      perf-2381.map                           [.] 0x00000bdc42bf3070
     0.01%  pgrep            [kernel.kallsyms]                       [k] from_kgid_munged
     0.01%  chrome           chrome                                  [.] 0x0000000003ea75a3
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_closure_unref
     0.01%  node             [kernel.kallsyms]                       [k] native_irq_return_iret
     0.01%  pgrep            [kernel.kallsyms]                       [k] restore_nameidata
     0.01%  pgrep            [kernel.kallsyms]                       [k] get_task_cred
     0.01%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5            [.] pthread_getspecific@plt
     0.01%  pgrep            [kernel.kallsyms]                       [k] common_file_perm
     0.01%  gnome-shell      libgjs.so.0.0.0                         [.] gjs_value_to_g_argument
     0.01%  Xorg             Xorg                                    [.] _CallCallbacks
     0.01%  chrome           [kernel.kallsyms]                       [k] aa_sock_msg_perm
