v8-version,6,2,414,75,0
code-creation,Stub,3,2875,0x1ef258614d00,2088,"RecordWriteStub"
code-creation,Stub,3,2876,0x1ef2586155a0,2103,"RecordWriteStub"
code-creation,Stub,3,2876,0x1ef258615e40,2088,"RecordWriteStub"
code-creation,Stub,3,2877,0x1ef2586166e0,884,"RecordWriteStub"
code-creation,Stub,3,2878,0x1ef258616ac0,884,"RecordWriteStub"
code-creation,Stub,3,2879,0x1ef258616ea0,2109,"RecordWriteStub"
code-creation,Stub,3,2880,0x1ef258617740,882,"RecordWriteStub"
code-creation,Stub,3,2880,0x1ef258617b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2881,0x1ef258617c60,235,"NumberToStringStub"
code-creation,Stub,3,2882,0x1ef258617dc0,2125,"RecordWriteStub"
code-creation,Stub,3,2883,0x1ef258618680,2142,"RecordWriteStub"
code-creation,Stub,3,2884,0x1ef258618f40,884,"RecordWriteStub"
code-creation,Stub,3,2884,0x1ef258619320,2104,"RecordWriteStub"
code-creation,Stub,3,2885,0x1ef258619bc0,2088,"RecordWriteStub"
code-creation,Stub,3,2886,0x1ef25861a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2887,0x1ef25861a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,2888,0x1ef25861ae60,87,"DoubleToIStub"
code-creation,Stub,3,2888,0x1ef25861af20,2076,"RecordWriteStub"
code-creation,Stub,3,2889,0x1ef25861b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,2890,0x1ef25861c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,2891,0x1ef25861c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,2892,0x1ef25861c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,2893,0x1ef25861c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,2894,0x1ef25861c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,2895,0x1ef25861c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,2895,0x1ef25861ce80,2126,"RecordWriteStub"
code-creation,Stub,3,2896,0x1ef25861d740,2076,"RecordWriteStub"
code-creation,Stub,3,2897,0x1ef25861dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,2898,0x1ef25861e860,2099,"RecordWriteStub"
code-creation,Stub,3,2898,0x1ef25861f100,2084,"RecordWriteStub"
code-creation,Stub,3,2899,0x1ef25861f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,2900,0x1ef258620280,2087,"RecordWriteStub"
code-creation,Stub,3,2901,0x1ef258620b20,2072,"RecordWriteStub"
code-creation,Stub,3,2902,0x1ef2586213a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,2902,0x1ef258621580,612,"An IC handler from the snapshot"
code-creation,Stub,3,2903,0x1ef258621860,2126,"RecordWriteStub"
code-creation,Handler,4,2904,0x1ef258622120,180,"An IC handler from the snapshot"
code-creation,Stub,3,2905,0x1ef258622240,2088,"RecordWriteStub"
code-creation,Handler,4,2906,0x1ef258622ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,2906,0x1ef258622c00,3146,"SubStringStub"
code-creation,Stub,3,2907,0x1ef2586238c0,269,"CEntryStub"
code-creation,Stub,3,2908,0x1ef258623a40,2106,"RecordWriteStub"
