v8-version,7,0,276,38,-node.18,0
code-creation,Builtin,3,2041,0x3e63c3b0e8e0,200,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2046,0x3e63c3b0ea00,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2051,0x3e63c3b0eaa0,66,InterpreterOnStackReplacement
code-creation,Builtin,3,2057,0x3e63c3b0eb40,899,CompileLazy
code-creation,Builtin,3,2061,0x3e63c3b0ef20,104,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2066,0x3e63c3b06de0,247,DeserializeLazy
code-creation,Builtin,3,2071,0x3e63c3b0efe0,151,InstantiateAsmJs
code-creation,Builtin,3,2075,0x3e63c3b0f0c0,35,NotifyDeoptimized
code-creation,Builtin,3,2079,0x3e63c3b0f140,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2084,0x3e63c3b0f1c0,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2089,0x3e63c3b0f240,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2094,0x3e63c3b0f2c0,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2099,0x3e63c3b0f340,61,OnStackReplacement
code-creation,Builtin,3,2104,0x3e63c3b0f3c0,15,HandleApiCall
code-creation,Builtin,3,2116,0x3e63c3b0f420,15,HandleApiCallAsFunction
code-creation,Builtin,3,2123,0x3e63c3b0f480,15,HandleApiCallAsConstructor
code-creation,Builtin,3,2133,0x3e63c3b0f4e0,44,AllocateInNewSpace
code-creation,Builtin,3,2140,0x3e63c3b0f560,64,AllocateInOldSpace
code-creation,Builtin,3,2147,0x3e63c3b0f5e0,779,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2155,0x3e63c3b0f940,520,GrowFastDoubleElements
code-creation,Builtin,3,2160,0x3e63c3b0fba0,480,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2165,0x3e63c3b0fdc0,343,NewArgumentsElements
code-creation,Builtin,3,2170,0x3e63c3b0ff60,464,DebugBreakTrampoline
code-creation,Builtin,3,2175,0x3e63c3b10180,118,FrameDropperTrampoline
code-creation,Builtin,3,2180,0x3e63c3b10240,51,HandleDebuggerStatement
code-creation,Builtin,3,2185,0x3e63c3b102c0,402,ToObject
code-creation,Builtin,3,2189,0x3e63c3b104a0,151,ToBoolean
code-creation,Builtin,3,2194,0x3e63c3b10580,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2199,0x3e63c3b106e0,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,2204,0x3e63c3b10840,229,NonPrimitiveToPrimitive_Default
